ID,Label,House,Year,Month,Temperature,Daylight,EnergyProduction
115,120,0,6,2011,7,24.8,178.1,783,723.0
116,121,1,6,2011,8,24.7,173.8,749,783.0
117,122,2,6,2011,9,21.4,159.8,603,749.0
118,123,3,6,2011,10,15.3,164.6,601,603.0
119,124,4,6,2011,11,10.6,163.7,491,601.0
120,125,5,6,2011,12,3.4,191.9,503,491.0
121,126,6,6,2012,1,0.8,195.0,552,503.0
122,127,7,6,2012,2,2.0,161.8,536,552.0
123,128,8,6,2012,3,6.2,168.0,674,536.0
124,129,9,6,2012,4,12.1,188.1,776,674.0
125,130,10,6,2012,5,16.7,205.8,821,776.0
126,131,11,6,2012,6,20.2,148.2,732,821.0
127,132,12,6,2012,7,24.3,167.0,722,732.0
128,133,13,6,2012,8,25.8,256.7,900,722.0
129,134,14,6,2012,9,22.8,181.1,694,900.0
130,135,15,6,2012,10,15.6,184.5,625,694.0
131,136,16,6,2012,11,8.3,181.2,514,625.0
132,137,17,6,2012,12,2.4,158.1,446,514.0
133,138,18,6,2013,1,0.9,213.8,582,446.0
134,139,19,6,2013,2,2.6,183.4,560,582.0
135,140,20,6,2013,3,9.3,217.4,759,560.0
136,141,21,6,2013,4,11.9,225.1,828,759.0
137,142,22,6,2013,5,17.7,250.6,922,828.0
161,168,0,8,2011,7,25.9,174.5,662,970.0
162,169,1,8,2011,8,25.8,157.2,625,662.0
163,170,2,8,2011,9,22.9,167.2,569,625.0
164,171,3,8,2011,10,16.6,154.3,520,569.0
165,172,4,8,2011,11,11.5,160.3,457,520.0
166,173,5,8,2011,12,4.2,192.7,482,457.0
167,174,6,8,2012,1,1.7,197.6,529,482.0
168,175,7,8,2012,2,2.8,162.1,495,529.0
169,176,8,8,2012,3,6.8,162.9,584,495.0
170,177,9,8,2012,4,12.7,176.6,659,584.0
171,178,10,8,2012,5,17.7,206.8,701,659.0
172,179,11,8,2012,6,20.5,142.6,609,701.0
173,180,12,8,2012,7,25.2,170.2,625,609.0
174,181,13,8,2012,8,27.2,252.8,760,625.0
175,182,14,8,2012,9,23.9,173.6,587,760.0
